problem,category,run,status,completeness
1151,open,no,,
1152,open,no,,
1155,open,no,,
1156,open,no,,
1157,open,no,,
1158,open,no,,
1159,open,no,,
1160,open,no,,
1162,open,no,,
1163,open,no,,
1167,open,no,,
1168,open,no,,
1170,open,no,,
1171,open,no,,
1172,open,no,,
1173,open,no,,
1175,open,no,,
1177,open,no,,
1178,open,no,,
1181,open,no,,
1182,open,no,,
1183,open,no,,
1184,open,no,,
1186,open,no,,
1188,open,no,,
1189,open,no,,
1191,open,no,,
1192,open,no,,
1194,open,no,,
1199,open,no,,
1200,open,no,,
1201,open,no,,
1203,open,no,,
1204,open,no,,
1206,open,no,,
1207,open,no,,
1208,open,no,,
1209,open,no,,
1210,open,yes,unsolved,?
1212,open,yes,unsolved,?
